ID,realm,name,race,level,class,zone,role,presence
356,Executus,Victoria,Orc,120,Shaman,N/A,Member,Offline
357,Zenedar,Vinzu,Mag'har Orc,120,Monk,N/A,Member,Offline
358,Zenedar,Vinzzu,Zandalari Troll,120,Druid,N/A,Member,Offline
359,Dentarg,Violjin,Troll,120,Druid,N/A,Member,Offline
360,Burning Legion,Viridel,Nightborne,58,Warrior,N/A,Member,Offline
361,Kul Tiras,Viví,Blood Elf,120,Paladin,N/A,Moderator,Offline
362,Twilight'sHammer,Vordian,Undead,120,Warrior,N/A,Member,Offline
363,Tarren  Mill,Vóa,Blood Elf,120,Demon Hunter,N/A,Member,Offline
364,Tarren  Mill,Wahshi,Tauren,120,Warrior,N/A,Member,Offline
365,Tarren  Mill,Wahshie,Blood Elf,120,Death Knight,N/A,Member,Offline
366,Tarren  Mill,Wargodstompy,Tauren,120,Shaman,N/A,Member,Offline
367,Drak'thul,Warlorana,Blood Elf,120,Warlock,N/A,Member,Offline
368,Twisting Nether,Watruhyding,Blood Elf,120,Demon Hunter,N/A,Member,Offline
369,Kor'gall,Whyalwaysme,Undead,120,Rogue,N/A,Member,Offline
370,Bloodscalp,Winsly,Orc,120,Warrior,N/A,Member,Online
371,Chamberof Aspects,Wixalot,Tauren,101,Warrior,N/A,Member,Offline
372,Burning Legion,Wjebane,Goblin,120,Shaman,N/A,Member,Offline
373,Draenor,Wolfkhan,Mag'har Orc,116,Warrior,N/A,Member,Offline
374,Twisting Nether,Wotkavisné,Orc,120,Monk,N/A,Member,Offline
375,Doomhammer,Wäst,Tauren,120,Warrior,N/A,Member,Offline
376,Tarren  Mill,Xerol,Undead,120,Rogue,N/A,Member,Offline
377,Quel'Thalas,Yilvar,Troll,120,Warrior,N/A,Member,Offline
378,Magtheridon,Yogapantz,Undead,120,Mage,N/A,Member,Offline
379,Draenor,Yuéhai,Pandaren,120,Hunter,N/A,Member,Offline
380,Draenor,Yèash,Blood Elf,120,Paladin,N/A,Member,Offline
381,Drak'thul,Zakrajan,Zandalari Troll,120,Druid,N/A,Member,Offline
382,Eldre'Thalas,Zamz,Undead,120,Warlock,N/A,Member,Offline
383,Bloodscalp,Zashgol,Troll,120,Hunter,N/A,Member,Offline
384,Tarren  Mill,Zeilzal,Orc,120,Shaman,N/A,Member,Offline
385,Draenor,Zerual,Tauren,120,Druid,N/A,Member,Offline
386,Burning Blade,Zooboo,Undead,120,Rogue,N/A,Member,Offline
387,Emeriss,Zumi,Orc,120,Hunter,N/A,Member,Offline
388,Draenor,Zwicked,Undead,120,Monk,N/A,Member,Offline
389,Doomhammer,Züljezz,Zandalari Troll,120,Priest,N/A,Member,Offline
390,Executus,Ío,Blood Elf,120,Priest,N/A,Member,Offline
391,Tarren  Mill,Óðin,Pandaren,120,Warrior,N/A,Member,Offline
392,Tarren  Mill,Øzay,Orc,120,Hunter,N/A,Member,Offline
393,Ревущийфьорд,Максирэви,Blood Elf,120,Hunter,N/A,Member,Offline
394,ПиратскаяБухта,Маринамалина,Pandaren,120,Monk,N/A,Member,Online
395,СвежевательДуш,Похилим,Pandaren,120,Monk,N/A,Member,Offline
396,СвежевательДуш,Шишкавод,Blood Elf,120,Paladin,N/A,Member,Offline
